Sequoia_ID,Season_Year,Species,Harvest_Date,How_Taken,Harvest_BMU,Harvest_County,Registration_Sex,BirthYear,Latitude,Longitude
BB21_205,2021,Black Bear,17-Sep-21,Hunting,Gwinn,Dickinson,F,2011,46.326035622,-88.8557927649
BB21_207,2021,Black Bear,26-Sep-21,Hunting,Carney,Dickinson,M,2019,46.4108376713,-86.0213491067
BB21_210,2021,Black Bear,16-Sep-21,Hunting,Amasa,Iron,M,2019,46.3546066403,-89.8134560998
BB21_214,2021,Black Bear,28-Sep-21,Hunting,Amasa,Iron,F,2020,45.8320883893,-86.9046081989
BB21_208,2021,Black Bear,8-Sep-21,Hunting,Gwinn,Dickinson,M,2021,46.5851704092,-88.1477462883
BB21_209,2021,Black Bear,25-Sep-21,Hunting,Carney,Menominee,M,2020,46.2971752016,-89.7302909862
BB21_213,2021,Black Bear,13-Sep-21,Hunting,Amasa,Iron,M,2016,46.5855361434,-88.2517953912
BB21_219,2021,Black Bear,23-Sep-21,Hunting,Amasa,Marquette,M,2015,46.1805635155,-85.3104966856
BB21_218,2021,Black Bear,14-Sep-21,Hunting,Amasa,Iron,M,2020,46.4127993125,-88.1897856748
BB21_212,2021,Black Bear,23-Sep-21,Hunting,Carney,Menominee,F,2018,46.3693174023,-90.0632005656
BB21_211,2021,Black Bear,22-Sep-21,Hunting,Gwinn,Dickinson,M,2019,46.5573274902,-87.9391593544
BB21_215,2021,Black Bear,9-Sep-21,Hunting,Amasa,Iron,F,2018,46.6000539493,-88.3355670494
BB21_216,2021,Black Bear,13-Sep-21,Hunting,Carney,Dickinson,M,2020,46.2969933824,-88.3359554927
BB21_217,2021,Black Bear,10-Sep-21,Hunting,Gwinn,Dickinson,M,2020,46.3410721382,-87.6460212858
BB21_220,2021,Black Bear,18-Sep-21,Hunting,Gwinn,Dickinson,M,2018,46.4846128227,-86.4383514237
BB21_222,2021,Black Bear,25-Sep-21,Hunting,Carney,Menominee,M,2020,46.369321921,-89.5220097379
BB21_221,2021,Black Bear,9-Sep-21,Hunting,Gwinn,Dickinson,F,2018,46.441763594,-88.0859228472
BB21_227,2021,Black Bear,28-Sep-21,Hunting,Carney,Menominee,M,2018,45.9332176398,-86.6259499543
BB21_225,2021,Black Bear,16-Sep-21,Hunting,Carney,Menominee,M,2016,46.5566271158,-90.0417789962
BB21_224,2021,Black Bear,13-Sep-21,Hunting,Carney,Menominee,F,2019,46.4988972099,-89.0853497435
BB21_226,2021,Black Bear,15-Sep-21,Hunting,Amasa,Iron,M,2020,46.3116036955,-88.5438414425
BB21_223,2021,Black Bear,9-Sep-21,Hunting,Carney,Dickinson,F,2019,46.6137084609,-88.106421825
BB21_230,2021,Black Bear,15-Sep-21,Hunting,Carney,Menominee,M,2011,46.1509831094,-85.9800924062
BB21_228,2021,Black Bear,14-Sep-21,Hunting,Carney,Dickinson,M,2020,47.4670597583,-87.9938046194
BB21_229,2021,Black Bear,18-Sep-21,Hunting,Gwinn,Dickinson,M,2018,46.2970059293,-89.0223046255
BB21_233,2021,Black Bear,26-Sep-21,Hunting,Gwinn,Delta,M,2020,46.6140672891,-89.6459932427
BB21_232,2021,Black Bear,9-Sep-21,Hunting,Amasa,Dickinson,M,2019,46.2397777712,-88.294456648
BB21_231,2021,Black Bear,9-Sep-21,Hunting,Gwinn,Dickinson,M,2020,46.6856726507,-88.1473261133
BB21_238,2021,Black Bear,13-Sep-21,Hunting,Carney,Menominee,M,2018,46.3258847636,-89.2516101688
BB21_235,2021,Black Bear,16-Sep-21,Hunting,Gwinn,Dickinson,M,2015,46.5855896815,-88.3146042891
BB21_236,2021,Black Bear,14-Sep-21,Hunting,Carney,Dickinson,M,2013,46.2086625783298,-88.5305761575624
BB21_234,2021,Black Bear,8-Sep-21,Hunting,Gwinn,Dickinson,F,2018,46.5562490671,-85.7302231879
BB21_237,2021,Black Bear,24-Sep-21,Hunting,Carney,Menominee,M,2020,45.9064001494,-88.0229760163
BB21_240,2021,Black Bear,8-Sep-21,Hunting,Gwinn,Delta,F,2010,46.2826928285,-89.2304494341
BB21_241,2021,Black Bear,9-Sep-21,Hunting,Newberry,Chippewa,F,2021,46.0343547039,-85.9592596324
BB21_239,2021,Black Bear,9-Sep-21,Hunting,Amasa,Dickinson,F,2019,46.5428367819,-87.8970209556
BB21_242,2021,Black Bear,26-Sep-21,Hunting,Amasa,Iron,M,2019,46.1079176521,-86.6675560365
BB21_243,2021,Black Bear,13-Sep-21,Hunting,Amasa,Iron,F,2020,46.2383030372,-85.4778481199
BB21_244,2021,Black Bear,13-Sep-21,Hunting,Gwinn,Dickinson,F,2020,46.4273611095,-88.0647770612
BB21_245,2021,Black Bear,17-Sep-21,Hunting,Amasa,Marquette,F,2019,47.3515426744,-88.0776098318
BB21_246,2021,Black Bear,18-Sep-21,Hunting,Bergland,Gogebic,F,2017,45.8309848132,-87.8309062476
BB21_254,2021,Black Bear,21-Sep-21,Hunting,Newberry,Schoolcraft,M,2017,46.6868139086,-89.4171280955
BB21_249,2021,Black Bear,17-Sep-21,Hunting,Carney,Menominee,F,2021,46.2105586405,-89.1679857018
BB21_250,2021,Black Bear,10-Sep-21,Hunting,Amasa,Iron,F,2018,46.5569974768,-88.6476119258
BB21_248,2021,Black Bear,9-Sep-21,Hunting,Carney,Menominee,F,2019,46.5130627858,-89.8555006518
BB21_247,2021,Black Bear,13-Sep-21,Hunting,Newberry,Chippewa,M,2021,46.0342707583,-86.1680353463
BB21_251,2021,Black Bear,8-Sep-21,Hunting,Amasa,Gogebic,M,2020,46.2521631177,-86.2926335646
BB21_252,2021,Black Bear,18-Sep-21,Hunting,Amasa,Iron,M,2018,46.2101556536,-89.3547515665
BB21_258,2021,Black Bear,6-Oct-21,Hunting,Carney,Dickinson,M,2018,45.9760853762,-86.1477661337
BB21_255,2021,Black Bear,29-Sep-21,Hunting,Amasa,Iron,M,2020,46.7297492054,-89.4998083181
